mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
16	16	31	31	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	199		articStaccatoBelow						
16	16	125/4	125/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	200		articStaccatoBelow						
16	16	63/2	63/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	201		articStaccatoBelow						
16	16	127/4	127/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	202		articStaccatoBelow						
16	16	30	30	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	203		articAccentBelow						
16	16	121/4	121/4	0.0		1/16	1/16	StaffText	2/4	2	1	0						secco					
16	16	121/4	121/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	204		articAccentBelow						
16	16	61/2	61/2	0.0		1/8	1/8	Spanner	2/4	2	1	0											2
17	17	32	32	0.0		0	0	Dynamic	2/4	1	1	0				mp							
17	17	32	32	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	205								
17	17	129/4	129/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	206							17	
17	17	259/8	259/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	207							17	
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	208								
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	209								
17	17	33	33	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	210		articStaccatoBelow						
17	17	67/2	67/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	211		articStaccatoBelow						
17	17	135/4	135/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	212		articStaccatoBelow						
17	17	32	32	0.0		0	0	StaffText	2/4	2	1	0						stacc.					
17	17	32	32	0.0		0	0	Spanner	2/4	2	1	0											
17	17	32	32	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	213								
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	214								
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	215								
17	17	33	33	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	216								
17	17	67/2	67/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	217								
17	17	135/4	135/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	218								
18	18	34	34	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	219		articStaccatoBelow						
18	18	137/4	137/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	220							18	
18	18	275/8	275/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	221							18	
18	18	69/2	69/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	222								
18	18	139/4	139/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	223								
18	18	35	35	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	224		articStaccatoBelow						
18	18	575/16	575/16	0.0125		31/64	31/64	Chord	2/4	1	1	1/320	1/256	4/5	225							19	
18	18	719/20	719/20	0.0125		39/80	39/80	Chord	2/4	1	1	1/320	1/256	4/5	226							19	
18	18	2877/80	2877/80	0.0125		157/320	157/320	Chord	2/4	1	1	1/320	1/256	4/5	227							19	
18	18	1439/40	1439/40	0.0125		79/160	79/160	Chord	2/4	1	1	1/320	1/256	4/5	228							19	
18	18	2879/80	2879/80	0.0125		159/320	159/320	Chord	2/4	1	1	1/320	1/256	4/5	229							19	
18	18	34	34	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	230								
18	18	69/2	69/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	231								
18	18	139/4	139/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	232								
18	18	35	35	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	233								
19	19	36	36	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	234								
19	19	145/4	145/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	235		articStaccatoBelow						
19	19	73/2	73/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	236		articStaccatoBelow						
19	19	147/4	147/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	237		articStaccatoBelow						
19	19	37	37	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	238		articStaccatoBelow						
19	19	149/4	149/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	239		articStaccatoBelow						
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	240							20	
19	19	36	36	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	241								
19	19	147/4	147/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	242								
